Index,Date_first_measurements_taken,Specimen_ID,Taxon,Tip_label,Added?,Sources_for_phylogenetic_placement,MajorClade,Subclade,Subgroup1,Subgroup2,Neonate?,Specimen_type,Morphosource_ark,Flipper_status,Ecotype1,Ecotype2,Ecotype3,Ecotype_references,IUCN_cat,IUCN_source,fore_type,hind_type,f_subtype,h_subtype,Limb_type_references,Skull present?,Limb Articulated?,Photographable?,TO PHOTOGRAPH?,Photo credit,First_occurrence (mya),last_occurrence (mya),Citation for occurrences,Notes on occurrences,Limb_region_measurement_method,Length_units,Included_unguals?,Humerus,Radius,Ulna,EFZL,Hand,f_AZR,f_SZR,f_ASR,f_AnAR,Femur,Tibia,Foot,h_AZR,h_SZR,h_ASR,h_AnAR,Limb_region_measurement_notes,Acropod_LM_measurement_method,mD_Antmost,mD_Postmost,mD_Longest,mD_Symmetry_index1,mD_Symmetry_index2,pD_Antmost,pD_Postmost,pD_Longest,pD_Symmetry_index1,pD_Symmetry_index2,mD3_up_Height,mD3_up_TopLength,mD3_up_BottomLength,mD3_up_FI1,mD3_up_FI2,mD3_up_FI3,pD3_up_Height,pD3_up_TopLength,pD3_up_BottomLength,pD3_up_FI1,pD3_up_FI2,pD3_up_FI3,Ungual_measurement_notes,mD3_proxp_Length,mD3_proxp_ProxWidth,mD3_proxp_DistWidth,mD3_proxp_Length/DistWidth,mD3_proxp_WidthRatios,pD3_proxp_Length,pD3_proxp_ProxWidth,pD3_proxp_DistWidth,pD3_proxp_Length/DistWidth,pD3_proxp_WidthRatios,proxp_measurement_notes
r-c001,1/13/20,YPM_HERR_010517,Crocodylus_acutus,Crocodylus_acutus__YPM_HERR_010517,Yes,Rio and Mannion 2021 [https://doi.org/10.7717/peerj.12094],Pan-Reptilia,Archosauromorpha,Pan-Crocodylia,Crocodyloidea,No,"Recent, original skeleton",NA,Non-flippered,Highly Aquatic,large or fast-moving water bodies,freshwater/marine,A detailed explanation for the aquatic affinities of crocodylians is given in our Supplementary Text.,VU,Rainwater et al. 2020 (Crocodylus acutus: https://dx.doi.org/10.2305/IUCN.UK.2022-1.RLTS.T5659A212805700.en),Webbed,Webbed,"Partial, slight","Complete, slight",Fluid-preserved specimen YPM_R_06519,Yes,Yes,No,No,NA,4.9,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=96382&is_real_user=1),Extant,Calipers,mm,No,53,38,36,37,16,0.43,1.43,0.3,0.38,56,45,54,1.2,1.24,0.96,1.07,Mounted,Calipers,15,14,23,1.07,1.59,39,44,55,0.89,1.33,1.9,4.5,NA,2.37,NA,NA,3.2,7.3,5.4,2.28,1.69,0.74,No keratinous sheaths present on the unguals measured.,5.4,2.9,2.1,2.57,0.72,12,4.9,4.1,2.93,0.84,NA
r-c002,1/13/20,YPM_HERR_010525,Hydrosaurus_amboinensis,Hydrosaurus_amboinensis__YPM_HERR_010525,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Agamidae,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, often in water",terrestrial/freshwater,"These lizards often use water as a means of escape, and have clear morphological adaptations to suit this purpose (Bauer and Jackman 2007 [Bauer AM, Jackman T (2007). Global diversity of lizards in freshwater (Reptilia: Lacertilia). In: Balian, E.V., Lévêque, C., Segers, H., Martens, K. (eds) Freshwater Animal Diversity Assessment. Developments in Hydrobiology, vol 198. Springer: Dordrecht. pp. 581–586. https://doi.org/10.1007/978-1-4020-8259-7_55.]). However, while individuals have been observed residing in a river, they are most often observed and mainly reside on land (Denzer et al. 2020 [https://doi.org/10.11646/zootaxa.4747.2.3]; O’Shea et al. 2021 IUCN assessment for Hydrosaurus amboinensis). As a result, we treat them as “Transiently Aquatic”. Reasonably, however, Watkins-Colwell 1994 [Watkins-Colwell G (1994). Cladistic biogeography of the water dragons, Hydrosaurus and Physignathus (Lepidosauria: Agamidae). Master of Science Thesis, Department of Biological Sciences, Ohio University. Bell & Howell Information and Learning Company: Ann Arbor. 68 pp.]  calls these lizards “routinely semiaquatic” (p. 24), and a “Moderately Aquatic” designation may be preferred depending on the frequency of their submerged activity. In the absence of additional behavioral data, we assume recurring but typically short forays into the water for this species, which then tentatively merits a “Transiently Aquatic” designation.",LC,O'Shea et al. 2021 (H. amboinensis: https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T195296A2376976.en),Unwebbed,Unwebbed,Interdigital Integument,Interdigital Integument,"Fluid-preserved H. pustulatus specimen YPM_HERR_012716 and H. amboinensis specimens YPM_HERR_012886 and YPM_HERR_010046 show that hands and feet both possess laterally projecting scale fringes, which are far more prominent on the feet. We tentatively score both fore- and hindlimbs as having interdigital integument, though developmental work is required to confidently distinguish the pedal fringes from lobate webbing.",Yes,Yes,Yes,No,NA,0,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=376397&is_real_user=1),Extant. No fossil specimens are reported on The Paleobiology Database.,Calipers,mm,No,54,39,47,43,37,0.86,1.26,0.69,0.79,66,54,NA,NA,1.22,NA,NA,Mounted,Calipers,19,26,38,0.73,1.69,28,45,83,0.62,2.27,3.7,7.9,NA,2.14,NA,NA,NA,NA,NA,NA,NA,NA,"No keratinous sheaths present on the unguals measured, though it was difficult to tell.",7.6,3.3,2.7,2.81,0.82,14,4.8,3.9,3.59,0.81,NA
r-c003,1/13/20,YPM_HERR_021848,Iguana_iguana,Iguana_iguana__YPM_HERR_021848,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Iguanidae,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, often in water",terrestrial/euryhaline,"Green iguanas spend most of their time on land, but retreat into the water for great stretches of time when threatened; however, they have also been observed entering the water without provocation and may spend considerable time there, even occassionally  engaging in intertidal foraging behavior (Censky et al. 1998 [https://doi.org/10.1038/26886]; Walter and Smith  2004 [Walter Jr E, Smith HT (2004). Colonization success by green iguanas in Florida. Iguana 11: 154–161.]; Krysko et al. 2007 [Krysko KL, Enge KM, Donlan EM, Seitz JC, Golden EA (2007). Distribution, natural history, and impacts of the introduced green iguana (Iguana iguana) in Florida. Iguana 14:142–151.]; Furness 2021 [https://doi.org/10.17161/randa.v28i3.15892]). For these reasons, they are Transiently to Moderately Aquatic. The frequency and duration of this behaviors leads us to tentatively call the species ""Transiently Aquatic"", though a Moderately Aquatic designation may be more appropriate for certain populations.",LC,Bock et al. 2022 (Iguana iguana: https://dx.doi.org/10.2305/IUCN.UK.2022-2.RLTS.T174481A218317281.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,Fluid-preserved specimen YPM_R_12217,Yes,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=373787&is_real_user=1),Extant,Calipers,mm,No,72,50,65,57.5,59,1.03,1.25,0.82,0.95,87,71,92,1.3,1.23,1.06,1.16,Mounted,Calipers,29,35,60,0.83,1.88,40,65,123,0.62,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Presence of keratinous sheath(s) prevented accurate ungual bone measurements.,14,4.8,4.3,3.26,0.9,20,6,5.3,3.77,0.88,NA
r-c004,1/13/20,YPM_HERR_017491,Iguana_iguana,Iguana_iguana__YPM_HERR_017491,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Iguanidae,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, often in water",terrestrial/euryhaline,"Green iguanas spend most of their time on land, but retreat into the water for great stretches of time when threatened; however, they have also been observed entering the water without provocation and may spend considerable time there, even occassionally  engaging in intertidal foraging behavior (Censky et al. 1998 [https://doi.org/10.1038/26886]; Walter and Smith  2004 [Walter Jr E, Smith HT (2004). Colonization success by green iguanas in Florida. Iguana 11: 154–161.]; Krysko et al. 2007 [Krysko KL, Enge KM, Donlan EM, Seitz JC, Golden EA (2007). Distribution, natural history, and impacts of the introduced green iguana (Iguana iguana) in Florida. Iguana 14:142–151.]; Furness 2021 [https://doi.org/10.17161/randa.v28i3.15892]). For these reasons, they are Transiently to Moderately Aquatic. The frequency and duration of this behaviors leads us to tentatively call the species ""Transiently Aquatic"", though a Moderately Aquatic designation may be more appropriate for certain populations.",LC,Bock et al. 2022 (Iguana iguana: https://dx.doi.org/10.2305/IUCN.UK.2022-2.RLTS.T174481A218317281.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,Fluid-preserved specimen YPM_R_12217,Yes,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=373787&is_real_user=1),Extant,Calipers,mm,No,63,53,47,50,49,0.98,1.26,0.78,0.9,75,64,79,1.23,1.17,1.05,1.14,Mounted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c006,7/20/21,YPM_HERR_012111,Calumma_parsonii,Calumma_parsonii__YPM_HERR_012111,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Chamaeleonidae,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"Chameleons are collectively described as occupying terrestrial habitats, with no reference to semi-aquatic habits (Vitt and Caldwell 2014, pp. 583–584: Chamaeleonidae [in Vitt LJ, Caldwell JP (2014) Herpetology: An Introductory Biology of Amphibians and Reptiles, Fourth Edition. Elsevier: Amsterdam. 757 pp.]). To our knowledge, there are no known extant chameleon species with even transiently semi-aquatic lifestyles. Oceanic dispersal from Madagascar to mainland Africa has been suggested for some species (Raxworthy et al. 2002 [https://doi.org/10.1038/415784a]), but this was presumably accomplished by floating on vegetation rafts, rather than swimming.",NT,Jenkins et al. 2011 (Calumma parsonii: http://dx.doi.org/10.2305/IUCN.UK.2011- 2.RLTS.T172896A6937628.en ),Unwebbed,Unwebbed,Pincer-palmed,Pincer-palmed,"Chameleons have stiff syndactylous finger pairs / triads (see Molnar et al. 2017 [https://doi.org/10.1002/jmor.20708]). We verified the presence of these ""pincer-palms"" with several fluid-preserved chameleon specimens (Bradypodion fischeri: YPM_HERR_009976, Brookesia perarmata: YPM_HERR_011451, Calumma brevicornis: YPM_HERR_009788, Chamaeleo deremensis: YPM R 10314).",Yes,Yes,No,No,NA,0,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=37890&is_real_user=1),Extant. No fossil specimens are reported on The Paleobiology Database.,Calipers,mm,No,34,30,31,30.5,23,0.75,1.11,0.68,0.73,40,28,31,1.11,1.43,0.78,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,5.6,5,2.67,2.38,0.89,NA,NA,NA,NA,NA,NA,Keratinous sheaths not present.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mounting position prevented feasible width measurements.
r-c007,1/13/20,YPM_HERR_011287,Chamaeleo_calyptratus,Chamaeleo_calyptratus__YPM_HERR_011287,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Chamaeleonidae,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"Chameleons are collectively described as occupying terrestrial habitats, with no reference to semi-aquatic habits (Vitt and Caldwell 2014, pp. 583–584: Chamaeleonidae [in Vitt LJ, Caldwell JP (2014) Herpetology: An Introductory Biology of Amphibians and Reptiles, Fourth Edition. Elsevier: Amsterdam. 757 pp.]). To our knowledge, there are no known extant chameleon species with even transiently semi-aquatic lifestyles. Oceanic dispersal from Madagascar to mainland Africa has been suggested for some species (Raxworthy et al. 2002 [https://doi.org/10.1038/415784a]), but this was presumably accomplished by floating on vegetation rafts, rather than swimming.",LC,Wilms et al. 2012 (Chamaeleo calyptratus: http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T176306A1437838.en),Unwebbed,Unwebbed,Pincer-palmed,Pincer-palmed,"Chameleons have stiff syndactylous finger pairs / triads (see Molnar et al. 2017 [https://doi.org/10.1002/jmor.20708]). We verified the presence of these ""pincer-palms"" with several fluid-preserved chameleon specimens (Bradypodion fischeri: YPM_HERR_009976, Brookesia perarmata: YPM_HERR_011451, Calumma brevicornis: YPM_HERR_009788, Chamaeleo deremensis: YPM R 10314).",Yes,Yes,Yes,Yes,NA,0,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=37890&is_real_user=1),"Extant. No fossil specimens are known, but the earliest Chamaeleo specimens date to 20.55 Mya (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=37890&is_real_user=1).",Calipers,mm,No,36,33,33,33,21,0.64,1.09,0.58,0.62,37,28,27,0.96,1.32,0.73,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c008,1/13/20,YPM_HERR_019184,Anolis_equestris,Anolis_equestris__YPM_HERR_019184,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Dactyloidae,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"Anolis equestris is highly arboreal and retreats into canopies when startled, generally avoiding the ground (Meshaka 1993 [https://www.jstor.org/stable/24320560]; Fong 2021 [https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T203882A2771981.en]). We find no reference to aquatic habits in this species.",LC,Fong 2021 (Anolis equestris: https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T203882A2771981.en),Webbed,Webbed,Lobate,Lobate,"Fluid-preserved Anolis equestris specimen YPM_HERR_007028: This species lacks true interdigital webbing, but has lobe-like toe pads, which we tentatively score as lobate webbing (although these less clearly reach to the base of the digits and it remains unclear whether they're formed by the same developmental program as lobate webbing).",Yes,Yes,Yes,Yes,NA,0,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=375971&is_real_user=1),Extant. No fossil specimens are reported on The Paleobiology Database.,Calipers,mm,No,24,17,19,18,18,1,1.33,0.75,0.9,29,25,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c009,1/13/20,YPM_HERR_019205,Phrynosoma_solare,Phrynosoma_solare__YPM_HERR_019205,Yes,Pyron et al. 2013 [https://doi.org/10.1186/1471-2148-13-93],Pan-Reptilia,Lepidosauromorpha,Iguania,Phrynosomatidae,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,We find no reference to aquatic habits in this desert-dwelling species (Hammerson et al. 2007 [http://dx.doi.org/10.2305/IUCN.UK.2007.RLTS.T64081A12734740.en]).,LC,Hammerson et al. 2007 (Phrynosoma solare: http://dx.doi.org/10.2305/IUCN.UK.2007.RLTS.T64081A12734740.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"Phrynosoma spp. scored from live individual of Phrynosoma_hernandesi observed at a distance in AZ, USA, in May 2019. This and research-grade iNaturalist observations of P. platyrhinos (https://www.inaturalist.org/observations/152262105; https://www.inaturalist.org/observations/150776729; https://www.inaturalist.org/observations/149912695) support the claim that this genus lacks interdigital webbing.",Yes,Yes,Yes,Yes,NA,0.126,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=37874&is_real_user=1),Extant. The earliest Phrynosoma spp. date earlier. We give the date here for those confidently referred to P. solare.,Calipers,mm,No,19,12,14,13,10,0.77,1.46,0.53,0.67,18,16,13,0.81,1.13,0.72,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c010,2/18/20,YPM_HERR_020723,Chelydra_serpentina,Chelydra_serpentina__YPM_HERR_020723,Yes,Thomson et al. 2021 [https://doi.org/10.1073/pnas.2012215118],Pan-Reptilia,Testudines,Cryptodira,Chelydroidea,No,"Recent, original skeleton",NA,Non-flippered,Moderately Aquatic,small or slow-moving water bodies,terrestrial/freshwater,"Chelydra resides on the bottoms of shallow freshwater basins and seldom bask out of the water, but will make extended overland journeys to find nesting sites (Obbard and Brooks 1980 [http://www.jstor.com/stable/3891480]; Whitfield and Luhring 2009 [https://doi.org/10.1016/B978-012370626-3.00197-6]; Vitt and Caldwell 2014, p. 534, Chelydridae  [in Vitt LJ, Caldwell JP (2014) Herpetology: An Introductory Biology of Amphibians and Reptiles, Fourth Edition. Elsevier: Amsterdam. 757 pp.])",LC,van Dijk 2012 (Chelydra serpentina: http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T163424A18547887.en),Webbed,Webbed,"Complete, extensive","Complete, extensive","Chelydra species scored as having complete, extensive webbing, based on stage 25 embryos figured in Yntema 1968 [https://doi.org/10.1002/jmor.1051250207], plate 10.",Yes,Yes,No,No,NA,10.3,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=105357&is_real_user=1),Extant,Calipers,mm,Digit-dependent (all digits except pD5 are clawed),72,38,46,42,33,0.79,1.71,0.46,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c012,2/18/20,YPM_HERR_017210,Cuora_flavomarginata,Cuora_flavomarginata__YPM_HERR_017210,Yes,Thomson et al. 2021 [https://doi.org/10.1073/pnas.2012215118],Pan-Reptilia,Testudines,Cryptodira,Testudinoidea,No,"Recent, original skeleton",NA,Non-flippered,Data Deficient,data deficient,data deficient,"Lue and Chen 1999 report data for exclusively terrestrial habits in this species, while others (eg, the IUCN Asian Turtle Trade Working Group 2000 [http://dx.doi.org/10.2305/IUCN.UK.2000.RLTS.T5960A11965283.en]) suggest semi-aquatic habits associated with ponds and rice paddies. Due to this contradiction, we consider the ecotype of this species ambiguous.",EN,Asian Turtle Trade Working Group 2000 (Cuora flavomarginata: http://dx.doi.org/10.2305/IUCN.UK.2000.RLTS.T5960A11965283.en),Webbed,Webbed,"Complete, extensive","Complete, extensive",Cuora spp. scored from fluid-preserved Cuora flavomarginata specimen YPM_HERR_011922: complete extensive webbing on all digits,Yes,Yes,Yes,No,NA,0.126,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=341257&is_real_user=1),Extant,Calipers,mm,No,26,18,19,18.5,9.1,0.49,1.41,0.35,0.43,27,22,13,0.59,1.23,0.48,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
