Index,Date measured,Specimen_ID,Taxon,Clade,Subclade,Specimen_type,Measur_method,Submethod,BA_set,Humerus,Radius,Ulna,EFZL,Hand,AZR_forelimb,fASR,fSZR,fAnAR,Femur,Tibia,Foot,AZR_hindlimb,hASR,hSZR,hAnAR,Notes on measurements,Acropod_LM_measurement_method,mD_Antmost,mD_Postmost,mD_Longest,mD_Symmetry_index1,mD_Symmetry_index2,pD_Antmost,pD_Postmost,pD_Longest,pD_Symmetry_index1,pD_Symmetry_index2,mD3_up_Height,mD3_up_TopLength,mD3_up_BottomLength,mD3_up_FI1,mD3_up_FI2,mD3_up_FI3,pD3_up_Height,pD3_up_TopLength,pD3_up_BottomLength,pD3_up_FI1,pD3_up_FI2,pD3_up_FI3,Ungual_measurement_notes,mD3_proxp_Length,mD3_proxp_ProxWidth,mD3_proxp_DistWidth,mD3_proxp_Length/DistWidth,mD3_proxp_WidthRatios,mD3_proxp_WidthRatios/Length,pD3_proxp_Length,pD3_proxp_ProxWidth,pD3_proxp_DistWidth,pD3_proxp_Length/DistWidth,pD3_proxp_WidthRatios,pD3_proxp_WidthRatios/Length,proxp_measurement_notes
r-c099,7/19/21,YPM HERR 10623,Tiliqua_scincoides,Reptilia,Lepidosauromorpha,Recent,3D,Calipers,Cal_vs_ImageJ,24.61,14.89,19.55,17.22,11.49,0.66724739,0.47,1.43,0.58,25.22,13.92,13.33,0.95761494,0.53,1.81,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 10623,Tiliqua_scincoides,Reptilia,Lepidosauromorpha,Recent,2D,ImageJ,Cal_vs_ImageJ,24.81,15.363,20.524,17.9435,12.206,0.68024633,0.491979040709391,1.38267339147881,0.60329176071305,NA,NA,NA,NA,NA,NA,NA,All slightly greater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c087,7/12/21,YPM HERR 11161,Uromastyx_aegyptia,Reptilia,Lepidosauromorpha,Recent,3D,Calipers,Cal_vs_ImageJ,27.01,NA,NA,NA,21.63,NA,0.80,NA,0.80081451314328,NA,NA,NA,NA,NA,NA,NA,Femur incomplete. Original caliper measurements for zeugopodia inaccurate (didn't follow current measurement scheme) so omitted.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 11161,Uromastyx_aegyptia,Reptilia,Lepidosauromorpha,Recent,2D,ImageJ,Cal_vs_ImageJ,27.092,21.544,26.068,23.806,22.114,0.92892548,0.816,1.138,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c100,7/19/21,YPM HERR 10619,Moloch_horridus,Reptilia,Lepidosauromorpha,Recent,3D,Calipers,Cal_vs_ImageJ,18.32,13.31,14.88,14.095,6.63,0.47037957,0.36,1.29975168499468,0.43,21.65,16.81,9.11,0.54193932,0.42,1.29,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 10619,Moloch_horridus,Reptilia,Lepidosauromorpha,Recent,2D,ImageJ,Cal_vs_ImageJ,22.509,13.421,15.259,14.34,7.144,0.49818689,0.317,1.56966527196653,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c101,7/19/21,YPM HERR 11121,Physignathus_lesueurii,Reptilia,Lepidosauromorpha,Recent,3D,Calipers,Cal_vs_ImageJ,28.41,20.57,22.28,21.425,21.04,0.98203034,0.74,1.32602100350058,0.89,42.98,35.64,42.15,1.18265993,0.98,1.21,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 11121,Physignathus_lesueurii,Reptilia,Lepidosauromorpha,Recent,2D,ImageJ,Cal_vs_ImageJ,29.256,21.397,23.633,22.515,22.018,0.97792583,0.753,1.299,0.889,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c058,5/26/21,YPM HERR 15183,Lepidochelys_kempii,Reptilia,Testudines,Recent,3D,Calipers,Cal_vs_ImageJ,57.44,29.5,31.12,30.31,NA,NA,NA,1.90,NA,51.17,36.06,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 15183,Lepidochelys_kempii,Reptilia,Testudines,Recent,2D,ImageJ,Cal_vs_ImageJ,60.3,27.164,29.177,28.1705,104.25,3.70067979,1.72885572139303,2.14053708666868,2.68130417263226,51.967,36.3,55.69,1.53415978,1.07164161871957,1.43159779614325,1.2618532407355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c074,6/2/21,YPM HERR 11225,Chelus_fimbriatus,Reptilia,Testudines,Recent,3D,Calipers,Cal_vs_ImageJ,22.53,10.99,10.78,10.885,12.8,1.17593018,0.568131380381713,2.06982085438677,0.866817155756208,27.29,17.64,15.91,0.90192744,0.58,1.55,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 11225,Chelus_fimbriatus,Reptilia,Testudines,Recent,2D,ImageJ,Cal_vs_ImageJ,NA,11.114,10.424,10.769,12.026,1.11672393,NA,NA,1.1167239297985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c066,5/26/21,YPM HERR 12629,Siebenrockiella_crassicollis,Reptilia,Testudines,Recent,3D,Calipers,Cal_vs_ImageJ,20.18,12.05,11.59,11.82,7.7,0.65143824,0.381565906838454,1.71,0.527156549520767,20.43,14.69,12.59,0.85704561,0.62,1.39,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 12629,Siebenrockiella_crassicollis,Reptilia,Testudines,Recent,2D,ImageJ,Cal_vs_ImageJ,NA,12.171,11.567,11.869,8.065,0.67950122,NA,NA,0.679501221669896,20.379,14.704,12.281,0.83521491,0.603,1.386,0.700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c114,10/28/21,YPM HERR 14920,Uromastyx_maliensis,Reptilia,Lepidosauromorpha,Recent,3D,Calipers,Cal_vs_ImageJ,33.97,24.52,30.24,27.38,23.95,0.87472608,0.71,1.24,0.81,40.05,29.53,29.57,1.00135456,0.74,1.36,0.85,"A ""Caliper2"" measurement set, originally taken 7/20/21,  replaced by remeasurements on 10/28/21.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImageJ repeat for bland-altman,3/8/23,YPM HERR 14920,Uromastyx_maliensis,Reptilia,Lepidosauromorpha,Recent,2D,ImageJ,Cal_vs_ImageJ,32.592,25.867,29.924,27.8955,25.06,0.89835278,0.768900343642612,1.16836048825079,0.850616068700995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r-c056,5/26/21,YPM HERR 15181,Lepidochelys_kempii,Reptilia,Testudines,Recent,3D,Calipers,Cal_vs_ImageJ,49.2,25.28,27.28,26.28,NA,NA,NA,1.87214611872146,NA,40.82,27.29,33.14,1.21436424,0.81,1.50,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
