:	Dot	-	-	Group	Group	Group	Group	Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Taxon	Specimen_ID	Clade	Subclade	Specimen_type	Flipper_status	Ecotype	Ecotype_references	Forelimb_type	Limb_type_references	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	
Black	Dot	Abronia_graminea	USNM_113198	Reptilia	Lepidosauromorpha	Recent, radiograph	Non-flippered	Terrestrial	Flores-Villela and Santos-Barrera 2007: We find no reference to aquatic habits in this species.	Unwebbed	Webbing phenotype based on soft-tissue outline in Abronia graminea radiograph USNM_113199.	-0.260115339805066	0.106872260838592	-0.252885410903053	0.139098487874401	-0.164445755536857	0.17093840539889	-0.134860761034164	0.189053543576626	-0.127458841957139	0.190923742847118	-0.0672328440349537	0.257182674842023	0.305403056191515	0.0484023921583926	0.40450769960744	-0.102264299820328	0.397019817837584	-0.224502019497428	0.225348087522794	-0.227020298353232	0.188897145617238	-0.237888778260788	-0.065830553697129	-0.108218673040974	-0.099395948445628	-0.10132172315693	-0.164309360810549	-0.0734179516572007	-0.184640990552031	-0.0278377637491611	
Black	Dot	Abronia_graminea	USNM_113199	Reptilia	Lepidosauromorpha	Recent, radiograph	Non-flippered	Terrestrial	Flores-Villela and Santos-Barrera 2007: We find no reference to aquatic habits in this species.	Unwebbed	Webbing phenotype based on soft-tissue outline in Abronia graminea radiograph USNM_113199.	-0.191254691424173	0.112236409738159	-0.182180441474923	0.125078448459357	-0.0912756537502848	0.168526383691313	-0.0659334173784	0.195924098220216	-0.0605472963798504	0.19910762842707	0.00483078279324862	0.279831766875352	0.159550951834495	0.118637972168148	0.508240128971446	0.0532022072667736	0.429981151410987	-0.178931561740224	0.0529784604859376	-0.232398559306578	-0.0079867673767556	-0.237443069896722	-0.0698782099154283	-0.208554565906545	-0.114047722355606	-0.183616936069505	-0.182146647245742	-0.131027568257498	-0.19033062819495	-0.0805726536693167	
Black	Dot	Acanthocercus_annectens	USNM_589397	Reptilia	Lepidosauromorpha	Recent, radiograph	Non-flippered	Terrestrial	Spawls et al. 2018: We find no reference to aquatic habits in this species.	Unwebbed	Webbing phenotype based on soft-tissue outline in Abronia graminea radiograph USNM_113199.	-0.23104830929045	0.0935930635571758	-0.220649650870405	0.109165332738951	-0.131379402638514	0.139479711890349	-0.0760367259366131	0.149140470047086	-0.0665021673500588	0.151244612984375	0.0243510823962148	0.158490873987025	0.304387071924966	0.125916646210523	0.45654489597402	0.0191597406346831	0.457792773792479	-0.097180994512248	0.150516777191304	-0.238965733546089	0.0570662530163508	-0.22331750131551	-0.11645437450999	-0.139140277543241	-0.154973974711792	-0.109582382368354	-0.222858869118255	-0.0763402381327985	-0.230755379869255	-0.0616633246319297	
Black	Dot	Adelosaurus_huxleyi	NEWHM_G26-49	Reptilia	Stem reptiles	Fossil, original	Non-flippered	Data Deficient	Evans 1988: The limited existing Adelosaurus material has different features suggestive of terrestrial and aquatic habits, though its overall morphology makes a terrestrial lifestyle more likely. However, in the absence of more complete material and data, we cannot rule out a Transiently or even Moderately Aquatic lifestyle for this taxon. As a result, its ecotype remains unclear.	Unclear, terr.	NA	-0.199528208378126	0.145109229302379	-0.192649724914219	0.159960044697225	-0.0921980340105283	0.210554625047932	-0.021668616732966	0.232004529857699	-0.0186825889191966	0.232659471246527	0.00699431442875997	0.228897182121041	0.253699781735086	0.183400169005828	0.348537219035149	0.0268608443411314	0.306241274018743	-0.164533354125704	0.0810154954291553	-0.262526017797821	0.059263634916549	-0.270275726596229	-0.0632566136694837	-0.203776939280914	-0.0901357420814008	-0.198714051849043	-0.176906501182568	-0.171531407680779	-0.200725689674951	-0.148088598289275	
Black	Dot	Alligator_mississippiensis	YPM_HERR_11754	Reptilia	Archosauromorpha	Recent	Non-flippered	Highly Aquatic	All extant crocodilians are amphibious predators that spend extensive time hunting and wading in the water, but also routinely bask, nest, and travel to some degree on land (Whitaker and Bass 1982; Ferguson 1985; Vitt and Caldwell 2014, ch. 19: Crocodylians; Murray et al. 2020). These species nevertheless span a continuum of semi-aquatic lifestyles, which differ intraspecifically, ontogenetically, and depending on weather and other external factors. In order to bin crocodilians by ecotype in an analysis that could plausibly encompass all other amniotes, we inevitably oversimplify the complex natural history of the clade. We try only to score them in a consistent way that broadly reflects their ecological history permits comparison to other amniotes. To that end, we describe our reasoning for these scores. We consider the brevirostrine species Osteolaemus tetraspis and Paleosuchus trigonatus the least aquatic crocodilians. O. tetraspis often inhabits sparsely inundated shallow inland streams and cave systems (Crocodile Specialist Group 1996; Vitt and Caldwell 2014, p. 332: Crocodylidae; Shirley et al. 2017), and it regularly hunts small terrestrial prey (Pauwels et al. 2007), which may make up the entirety of its adult diet in cave-dwelling populations (Shirley et al. 2017). Though quantitative comparisons of water and land habitation are sparse, one study found that some (but not all) captive O. tetraspis individuals spent the overwhelming majority of their time on land (Uwakaneme et al. 2004 [abstract])—a finding consistent with the highly terrestrial diet of some populations (Shirley et al. 2017). P. trigonatus is likewise often found about small inland streams in heavily forested areas (Medem 1958; Magnusson et al. 1987; Brochu 2001); adults consume primarily terrestrial prey (Jackson et al. 1974; Magnusson et al. 1987), and spens vast stretches of time on land, with one wild individual apparently residing under dry ground for 10 days (Magnusson and Lima 1990). These relatively terrestrial habits have led some authors to suggest a connection between terrestriality and brevirostry (Kälin 1933, cited in Medem 1958; Brochu 2001). However, the closely related P. palpebrosus, which is more conspicuously brevirostrine than its congener (Medem 1958), resides about larger water bodies and consumes relatively less terrestrial prey (Magnusson et al. 1987), casting doubt on this suggestion. Regardless, these species still typically spend extended periods of time in the water and have at least partly aquatic diets. As a result, we consider P. trigonatus and O. tetraspis Moderately Aquatic, with equal-to-subequal regions of niche space and habitation time devoted to land and water. In contrast, we consider P. palpebrosus and all other extant crocodilian species Highly Aquatic, as most individuals seem to spend the majority of their time in the water, coming onto land only to bask and nest. Within this single bin of “Highly Aquatic” crocodilians, we stress the existence of a finer continuum. In particular, we might well consider gavialids and the Saltwater Crocodile more aquatic than the other species sorted within this bin. Perhaps because they descend from marine ancestors (Wilberg et al. 2019), the gavialids G. gangeticus and T. schlegelli have longirostrine snouts often treated as specializations for hunting fish, though their diet is really more varied (Whitaker and Basu 1982). And while T. schlegelli occupies lentic marsh waters (Staniewicz 2018), G. gangeticus resides in deep, fast-moving rivers, seldom (if ever) moves far from the water’s edge, often remains submerged during nest attendance, and has more limited mobility on land than other modern crocodilians (Whitaker and Bass 1982; Vitt and Caldwell 2014: Gavialidae, p. 548; Choudhary et al. 2017; Murray et al. 2020). As a result, G. gangeticus is often considered the most aquatic modern crocodilian (Vitt and Caldwell 2014: Gavialidae, p. 548). In a similar vein, the  Crocodylus porosus may be the most active swimmer among modern crocodilians, often making extended (>1000 km) journeys over open ocean (Fukuda et al. 2019; Spennerman 2020). As a result, one might draw finer ecotypic distinctions among the many less terrestrial crocodilians. For this study, given that gavialids, C. porosus, and all their potentially less aquatic counterparts seem to spend the majority of their time in the water, but periodically return to land to nest, rest, and bask, we consider them all Highly Aquatic. In brief, we treat O. tetraspis and P. trigonatus as Moderately Aquatic, and all other species as Highly so.	Webbed	Fluid-preserved specimens YPM_R_06531 and YPM_R_06535, and taxidermied specimen YPM_R_15068	-0.290008517587186	0.130653291178222	-0.264821651509517	0.138884809547148	-0.12001760730205	0.129853078844272	-0.0860346315173092	0.131836253978861	-0.0814943957391125	0.131713725286058	0.0567983206461735	0.0819335944058852	0.297609826516038	0.0748404970645921	0.457029334441973	0.0104933064748735	0.450725063022962	-0.12455816303285	0.202581918385586	-0.156640909993208	0.111290983872737	-0.164086647305918	-0.0458573763456627	-0.137259212591121	-0.0927160559821051	-0.123653385078234	-0.288521842448484	-0.0756701865718776	-0.306563368454041	-0.0483400522067021	
Black	Dot	Aonyx_cinerea	AMNH 106626	Mammalia	Ferae	Recent	Non-flippered	Moderately Aquatic	Larivière 2003; Wright et al. 2021: Although primarily aquatic, Aonyx cinerea regularly spends extensive time on land, and will occasionally travel far from water sources.	Webbed	AMNH skin specimens of Amblyonyx spp.	-0.276054765014508	0.138734736526437	-0.250403021152129	0.148631478932915	-0.0987854853936306	0.174475693578589	-0.0546212180371206	0.17829828424397	-0.0520435217880487	0.178300946879966	0.110810875443342	0.143914970855129	0.309538210324967	0.119524250978217	0.35632903649256	-0.0143195178000194	0.324937401215095	-0.123784077749126	0.206044755832157	-0.14785867241373	0.102826758855325	-0.181461635637485	-0.0311528249629754	-0.179009627730644	-0.0895150456287076	-0.171870811649709	-0.269961157271299	-0.148866130631835	-0.287949998915027	-0.114709888382676	
Black	Dot	Antechinus_flavipes	YPM MAM 7089	Mammalia	Non-placentals	Recent, original skeleton	Non-flippered	Terrestrial	 Stokes et al. 2004; Marchesan and Carthew 2008: This species is predominantly ground-dwelling. We find no reference to aquatic habits.	Unclear, terr.	No zoological specimens were available for us to examine. As a result, its webbing phenotype remains ambiguous.	-0.21209943778399	0.155052148142549	-0.205014546152168	0.195578799667102	-0.132456582860641	0.224481052182665	-0.00153207470048015	0.251689762172594	0.00272983155377306	0.252975913053996	0.0480736207406171	0.246708280006246	0.212510339496603	0.113436782635702	0.293422508837142	-0.00603002262541879	0.274826350813731	-0.12498033495402	0.17094224895668	-0.241445556605996	0.0732880380512967	-0.248229203520992	-0.0357163301788778	-0.228608793419956	-0.0405847671008567	-0.227603345416486	-0.208404898031818	-0.189880514315292	-0.239984301641015	-0.173144967002691	
Black	Dot	Askeptosaurus_italicus	AMNH FARB 3920	Reptilia	Euryapsida	Fossil, cast	Ambiguous	Data Deficient	Although clearly adapted to an aquatic lifestyle (Romer 1956, Osteology of the Reptiles, pp. 344, 524; Rieppel et al. 2005), thalattosaurs seem to retain well-developed jointed limbs, suggesting that they retained the ability to make limited trips on land. The degree to which they traveled onto land remains unclear, so we cannot resolve whether thalattosaurs were Moderately, Highly, or Fully/Near-Fully Aquatic.  	Unclear, aquat.	NA	-0.263080643291168	0.184067728552922	-0.25511114109379	0.192277015419163	-0.125475523769874	0.193201534008182	-0.108506787562846	0.199253521449915	-0.105102865607766	0.198989548249948	0.0414581954739167	0.179200865680636	0.28007461060827	0.0702101716919804	0.373358569890049	-0.04188615329637	0.313429074539303	-0.159192821591802	0.153882956149096	-0.205733639287838	0.0959659311851779	-0.220483848133585	0.0900916353806246	-0.220438561657551	-0.0391683644044852	-0.173710443726489	-0.213505424589771	-0.109920014131648	-0.238310222906737	-0.0858349032274633	
Black	Dot	Atherurus_macrourus	AMNH 117640	Mammalia	Euarchontoglires	Recent	Non-flippered	Terrestrial	A. macrurus is a fossorial ground-dwelling species (Molur 2020). The closely related A. africanus is apparently a good swimmer but rarely forays into the water (Jori et al. 1988), and we find no reference to regular aquatic habits in either species. As a result, we consider A. macrurus Terrestrial.	Webbed	Skin specimen AMNH_59922	-0.286680610233716	0.126952730859602	-0.233473009112531	0.151014118475077	-0.151942910763101	0.139247158013598	-0.12200597903558	0.133725136601392	-0.11796392150882	0.13380457564983	-0.0147752628712165	0.11412002197378	0.372484181305305	0.0825209366187474	0.605394925033959	-0.0919004148727296	0.331985769056487	-0.0813411780196296	0.122058496898115	-0.110374985271059	0.0582369601108222	-0.127905559335263	-0.0534641270899706	-0.138721469245683	-0.0880834566480504	-0.13573588245496	-0.209067427623471	-0.102872001015644	-0.212703627518232	-0.0925331879770582	
