:,-,,String,String,Group,String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Black,Dot,0,Clade,Subclade,LT2,TWS.for.this.element,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,
Mediumturquoise,Dot,Chelonia_mydas_mD1,Reptiles,Turtles,Flippered,5,-0.336495823837929,-0.0273233190292953,-0.29238471245032,-0.0821459458055544,-0.138885085327743,-0.147071165952779,0.0620866283310426,-0.165332387559189,0.179350459868912,-0.133363255634598,0.254420059657909,-0.114388756210804,0.30080331475576,-0.116919874920561,0.299426071150643,-0.11207918301433,0.217851511437117,-0.0083737218327117,0.202519917347519,0.138255275987352,0.176518727099902,0.171042641292633,0.148650248967981,0.169014280940577,0.143569049165881,0.146839582759167,0.126017272028845,0.128172807877784,0.0635218630131988,0.108652544363522,-0.060142950740816,0.0650764768188054,-0.219360153428022,0.0469981034706491,-0.314743323677571,0.0104413813112987,
Mediumturquoise,Dot,Chelonia_mydas_mD2,Reptiles,Turtles,Flippered,5,-0.352337870341065,-0.0383320981445521,-0.318753236890116,-0.0498971147299619,-0.168397463337017,-0.0624398273352772,0.0461041561323311,-0.0755296525539179,0.185692051257284,-0.0747810114185188,0.276938122329356,-0.0606436987490279,0.329089944509859,-0.0415440535065521,0.335898850298458,-0.0469267205315138,0.279154352034741,0.00199322755328291,0.264682999698133,0.09972146648579,0.22514218926455,0.0808285531567015,0.170994965849974,0.0687657881891049,0.14634002075268,0.0615115606237022,0.121568387650591,0.0574610231419493,0.0525915058364908,0.0511205253230742,-0.0820498433266852,0.0352593179481309,-0.243773424402328,0.0236122855617972,-0.335886847317234,0.000734742008682447,
Tomato,Fill triang,Cyclopes_didactylus_mD2,Mammals,Non-boreoeutherian Mammals,Unwebbed,1,-0.35093334555058,0.0710145167617521,-0.329526127013591,-0.0179090887189238,-0.194435631598972,-0.12889078989871,0.00723838359278177,-0.164338160628718,0.143212257458953,-0.131693926724902,0.241559368641257,-0.0703920775616344,0.315616850374581,-0.0404467255111011,0.317866366876219,-0.0311102641974731,0.203399889995896,0.0196624405046205,0.210419634360298,0.156934030418643,0.174208469255026,0.139119168317541,0.128776962116851,0.126161677066956,0.101695330252867,0.0989714592855348,0.0746985454180245,0.06639248956992,0.0135009720879981,0.0180396466534429,-0.105275506204698,-0.0125216371970965,-0.248908433789093,0.00495324919764834,-0.331266972179347,0.0502031402637018,
Gold,Fill triang,Cynocephalus_volans_pD1,Mammals,Boreoeutherian Mammals,Webbed,4,-0.267121170478079,0.0583234146167228,-0.261551804854511,-0.0486046702601513,-0.151416652466424,-0.16066329399922,0.0232577273679571,-0.226676970482722,0.166695825819173,-0.201195594896944,0.270626300972061,-0.148665270762637,0.319130000557765,-0.0901901203829271,0.308781463859526,-0.0575290324488114,0.246895818790596,0.0276942881558499,0.293099161198904,0.13667747567181,0.199332743430522,0.172204899240836,0.0797985177638745,0.172049043016862,0.0416042592965192,0.147264440687453,0.0145901162266953,0.111877569296296,-0.0411182970055185,0.0555125569075577,-0.130392256350503,0.00358285547973436,-0.22086740548013,-0.00700437437194292,-0.255907128234794,0.0477520257049649,
Gold,Fill square,Aix_sponsa_pD2,Reptiles,Birds,Webbed,4,-0.316896499531882,0.0356024044563551,-0.283221122064102,-0.0432155197974412,-0.135260335557734,-0.11175023368826,0.0588453404457564,-0.148953623041538,0.194283096434473,-0.131754681953319,0.28930210955742,-0.115047180540437,0.342284433219333,-0.101039275904354,0.34724712684326,-0.086790142219527,0.294808030081979,0.015261311758487,0.240848060290865,0.120893956669901,0.15683139364898,0.121816992029537,0.073806719353044,0.13661277160488,0.0586276213852739,0.116533398752122,0.0414209388639116,0.0948326288884901,-0.00029113274215389,0.0513443537949113,-0.0922834008500145,0.0172007347355995,-0.213660240089628,0.0227108568708728,-0.292226703177405,0.0372952096057293,
Tomato,Fill square,Galbula_dea_pD2,Reptiles,Birds,Unwebbed,1,-0.364170627373455,0.0319548662432784,-0.329929646606734,-0.0500180863945049,-0.184303392222077,-0.153497339488538,0.00984989167021332,-0.166763056223238,0.130498325243663,-0.130425116937781,0.21036887290051,-0.0802785962361568,0.256014097626824,-0.0348374955599412,0.266974457027477,-0.0221689721067197,0.235619309192564,0.0257219149661962,0.266746598638452,0.0994464752959749,0.211829988008617,0.125799836455402,0.164339474902998,0.183062847020799,0.13008442832096,0.17789999280292,0.111717571495603,0.140515838664,0.0631107903984181,0.0710630650800705,-0.0584678553886723,0.0079546321488508,-0.221017549216235,-0.00439105109215848,-0.329643938947486,0.0196191028115033,
Tomato,Fill square,Ardea_herodias_pD2,Reptiles,Birds,Unwebbed,1,-0.350480404659384,0.0442377954345054,-0.321159360303101,-0.0369796983615624,-0.16991096604575,-0.11848537744656,0.0346597050086185,-0.143384078966583,0.166388998039111,-0.102556083882404,0.254917807264583,-0.0681596447048564,0.30701098248891,-0.0616608869726625,0.303837216956162,-0.0349453348416321,0.276884942614064,0.0288295286079379,0.284730795559292,0.0755321208148884,0.184793422113847,0.124484210132108,0.0743926179858849,0.125539292646679,0.0710926060472803,0.101110079537554,0.0635465763389545,0.0749181120539657,0.0149095484094978,0.0364408587884633,-0.0960859039445194,0.00387461456730052,-0.235742004205254,0.0103057581606014,-0.32260358463743,0.0396330062384023,
Tomato,Dot,Japalura_polygonata_pD1,Reptiles,Lepidosaurs,Unwebbed,1,-0.29197807265052,0.0428277072456126,-0.31666781725492,-0.0395419087817269,-0.212553239133199,-0.116434242878626,-0.00523788681032175,-0.183602766394067,0.160868660737527,-0.178228923205651,0.282824065905022,-0.11874760972976,0.347002612248621,-0.037042142730598,0.356617408725896,-0.021081898142354,0.254150130179354,0.00799397818056012,0.248146651571541,0.139865346551014,0.139996944529429,0.119123874425385,0.0332292630358036,0.09840099792386,0.0117984317429632,0.0746656601344869,-0.00189674088502565,0.0487091336414954,-0.0486138179893554,0.0355305482350508,-0.140302651931285,0.0445721370612839,-0.238796271553876,0.0546225647391401,-0.279366935070007,0.0597704465612293,
Gold,Fill square,Larus_novae_pD2_slant1,Reptiles,Birds,Webbed,4,-0.318259662210397,-0.00173857405650568,-0.275264918379297,-0.0360883270429203,-0.164952885599254,-0.0900734741681627,0.00388374879284165,-0.109211274789449,0.144859982640854,-0.109020925268168,0.253842511122907,-0.0982019565560694,0.319104256335677,-0.0838170105879384,0.332412259843201,-0.0686114759885538,0.330485121112836,0.0175511417087589,0.322993850039674,0.119768891792908,0.197304641474318,0.107842648275514,0.0582363587486698,0.129070648232065,0.0317015796742618,0.111621779544109,0.00957277145472381,0.0960464773888911,-0.040943997456815,0.0618430963941144,-0.130827132036402,0.036058338162794,-0.228824561201641,0.0221364832490475,-0.296500843693,0.0122375317196175,
